JMonth,monthly_mean_tempmax
2,4.81
4,3.08
5,4.19
17,4.02
18,5.64
20,2.99
23,3.43
24,7.16
25,8.07
28,4.77
34,3.64
37,9.52
38,2.96
45,5.35
47,7.55
50,9.59
51,4.51
55,3.45
58,3.89
60,3.28
61,6.06
62,6.54
63,3.30
84,3.63
87,5.22
90,4.11
96,3.69
98,4.70
110,3.73
123,3.83
137,4.74
141,6.21
144,4.27
146,6.98
155,11.10
156,4.60
157,3.19
158,6.36
164,9.03
165,6.20
172,4.68
175,3.98
179,7.16
180,8.22
181,5.52
189,4.34
192,4.22
199,3.75
200,5.29
213,3.26
216,4.53
218,2.94
227,4.69
229,14.08
232,7.51
235,3.49
239,2.94
240,5.85
243,8.82
248,3.77
251,3.03
266,7.93
275,4.01
280,4.79
282,3.32
286,3.90
294,4.26
295,8.88
296,5.02
298,3.01
301,8.51
303,11.76
304,5.33
305,6.89
306,4.65
307,9.69
311,5.39
312,4.42
313,3.49
321,3.42
345,5.11
346,3.07
347,5.23
348,6.71
350,7.34
351,7.74
352,2.99
354,5.72
358,5.38
359,9.17
