month,precip
14,11.79
17,45.99
18,43.02
21,40.00
22,34.57
23,41.24
24,42.71
26,28.22
28,14.98
35,0.00
36,16.58
45,33.55
46,45.30
48,38.63
50,0.02
56,38.74
58,29.70
64,40.86
65,49.07
82,37.77
86,41.26
87,16.21
89,19.88
98,30.42
106,8.19
107,17.22
109,41.37
110,19.32
112,33.77
120,19.38
121,20.83
123,23.28
137,38.02
140,32.33
146,48.12
147,37.02
154,19.65
157,48.23
160,38.69
164,8.42
165,43.15
172,43.15
179,17.73
180,11.60
182,29.71
183,28.66
187,35.23
191,13.27
192,26.57
193,16.61
199,11.95
203,16.94
212,42.32
213,45.79
216,27.38
220,47.91
227,34.89
228,45.04
229,29.81
230,0.00
235,48.66
239,27.83
248,28.33
251,5.26
253,49.22
265,3.75
266,38.20
286,47.40
288,6.56
291,41.30
294,49.04
295,41.07
301,1.64
305,41.44
307,19.53
311,48.57
312,26.07
323,34.82
324,36.10
325,35.72
327,21.40
331,32.70
332,46.70
335,13.43
337,20.00
339,26.59
345,36.35
346,33.07
354,22.12
359,10.99
